"sample_id","source_file","label","element_html","parent_html","sr_transcript","sr_status_announcement","sr_role_state_value","sr_label_instruction"
"format-instruction-not-associated::sample-0","format-instruction-not-associated.html","inaccessible","<form onsubmit=""event.preventDefault()""><div class=""form-group""><label for=""appointment-date"">Appointment date</label><input type=""text"" class=""form-control"" id=""appointment-date""></div><div class=""form-group""><label for=""reference"">Booking reference</label><input type=""text"" class=""form-control"" id=""reference""></div><p class=""footnote"">
Dates must be entered as DD/MM/YYYY. Booking references are 8 characters,
starting with two letters.
</p><button type=""submit"">Book</button></form>","<main><h1>Book an appointment</h1><form onsubmit=""event.preventDefault()""><div class=""form-group""><label for=""appointment-date"">Appointment date</label><input type=""text"" class=""form-control"" id=""appointment-date""></div><div class=""form-group""><label for=""reference"">Booking reference</label><input type=""text"" class=""form-control"" id=""reference""></div><p class=""footnote"">
Dates must be entered as DD/MM/YYYY. Booking references are 8 characters,
starting with two letters.
</p><button type=""submit"">Book</button></form></main>","[""form"",""Appointment date"",""textbox, Appointment date"",""Booking reference"",""textbox, Booking reference"",""paragraph"",""Dates must be entered as DD/MM/YYYY. Booking references are 8 characters, starting with two letters."",""end of paragraph"",""button, Book"",""end of form""]","","","[{""field"":""appointment-date"",""before"":{""phrase"":""textbox, Appointment date"",""html"":""<div class=\""form-group\""><label for=\""appointment-date\"">Appointment date</label><input type=\""text\"" class=\""form-control\"" id=\""appointment-date\""></div>""},""after"":{""phrase"":""textbox, Appointment date, Test entry"",""html"":""<div class=\""form-group\""><label for=\""appointment-date\"">Appointment date</label><input type=\""text\"" class=\""form-control\"" id=\""appointment-date\"" value=\""Test entry\""></div>""}},{""field"":""reference"",""before"":{""phrase"":""textbox, Booking reference"",""html"":""<div class=\""form-group\""><label for=\""reference\"">Booking reference</label><input type=\""text\"" class=\""form-control\"" id=\""reference\""></div>""},""after"":{""phrase"":""textbox, Booking reference, Test entry"",""html"":""<div class=\""form-group\""><label for=\""reference\"">Booking reference</label><input type=\""text\"" class=\""form-control\"" id=\""reference\"" value=\""Test entry\""></div>""}}]"
"hint-disappears-once-user-types::sample-0","hint-disappears-once-user-types.html","inaccessible","<form onsubmit=""event.preventDefault()""><div class=""form-group""><label for=""password"">Password</label><span class=""hint"" id=""passwordHint"">Must be at least 12 characters and include a number</span><input type=""password"" class=""form-control"" id=""password"" aria-describedby=""passwordHint"" oninput=""dropHint(event)""></div><div class=""form-group""><label for=""memorable"">Memorable word</label><span class=""hint"" id=""memorableHint"">Use something you will remember, not a date of birth</span><input type=""text"" class=""form-control"" id=""memorable"" aria-describedby=""memorableHint"" oninput=""dropHint(event)""></div><button type=""submit"">Create password</button></form>","<main><h1>Choose a password</h1><form onsubmit=""event.preventDefault()""><div class=""form-group""><label for=""password"">Password</label><span class=""hint"" id=""passwordHint"">Must be at least 12 characters and include a number</span><input type=""password"" class=""form-control"" id=""password"" aria-describedby=""passwordHint"" oninput=""dropHint(event)""></div><div class=""form-group""><label for=""memorable"">Memorable word</label><span class=""hint"" id=""memorableHint"">Use something you will remember, not a date of birth</span><input type=""text"" class=""form-control"" id=""memorable"" aria-describedby=""memorableHint"" oninput=""dropHint(event)""></div><button type=""submit"">Create password</button></form></main>","[""form"",""Password"",""Must be at least 12 characters and include a number"",""Password, Must be at least 12 characters and include a number"",""Memorable word"",""Use something you will remember, not a date of birth"",""textbox, Memorable word, Use something you will remember, not a date of birth"",""button, Create password"",""end of form""]","","","[{""field"":""password"",""before"":{""phrase"":""Password, Must be at least 12 characters and include a number"",""html"":""<div class=\""form-group\""><label for=\""password\"">Password</label><span class=\""hint\"" id=\""passwordHint\"">Must be at least 12 characters and include a number</span><input type=\""password\"" class=\""form-control\"" id=\""password\"" aria-describedby=\""passwordHint\"" oninput=\""dropHint(event)\""></div>""},""after"":{""phrase"":""Password, Passw0rd!"",""html"":""<div class=\""form-group\""><label for=\""password\"">Password</label><input type=\""password\"" class=\""form-control\"" id=\""password\"" aria-describedby=\""passwordHint\"" oninput=\""dropHint(event)\"" value=\""Passw0rd!\""></div>""}},{""field"":""memorable"",""before"":{""phrase"":""textbox, Memorable word, Use something you will remember, not a date of birth"",""html"":""<div class=\""form-group\""><label for=\""memorable\"">Memorable word</label><span class=\""hint\"" id=\""memorableHint\"">Use something you will remember, not a date of birth</span><input type=\""text\"" class=\""form-control\"" id=\""memorable\"" aria-describedby=\""memorableHint\"" oninput=\""dropHint(event)\""></div>""},""after"":{""phrase"":""textbox, Memorable word, Test entry"",""html"":""<div class=\""form-group\""><label for=\""memorable\"">Memorable word</label><input type=\""text\"" class=\""form-control\"" id=\""memorable\"" aria-describedby=\""memorableHint\"" oninput=\""dropHint(event)\"" value=\""Test entry\""></div>""}}]"
"label-not-associated-with-field::sample-0","label-not-associated-with-field.html","inaccessible","<form onsubmit=""event.preventDefault()""><div class=""form-group""><label>Full name</label><input type=""text"" class=""form-control"" id=""fullname""></div><div class=""form-group""><label for=""phone-number"">Telephone number</label><input type=""tel"" class=""form-control"" id=""phone""></div><button type=""submit"">Save</button></form>","<main><h1>Update your details</h1><form onsubmit=""event.preventDefault()""><div class=""form-group""><label>Full name</label><input type=""text"" class=""form-control"" id=""fullname""></div><div class=""form-group""><label for=""phone-number"">Telephone number</label><input type=""tel"" class=""form-control"" id=""phone""></div><button type=""submit"">Save</button></form></main>","[""form"",""Full name"",""textbox"",""Telephone number"",""textbox"",""button, Save"",""end of form""]","","","[{""field"":""fullname"",""before"":{""phrase"":""textbox"",""html"":""<div class=\""form-group\""><label>Full name</label><input type=\""text\"" class=\""form-control\"" id=\""fullname\""></div>""},""after"":{""phrase"":""textbox, Test entry"",""html"":""<div class=\""form-group\""><label>Full name</label><input type=\""text\"" class=\""form-control\"" id=\""fullname\"" value=\""Test entry\""></div>""}},{""field"":""phone"",""before"":{""phrase"":""textbox"",""html"":""<div class=\""form-group\""><label for=\""phone-number\"">Telephone number</label><input type=\""tel\"" class=\""form-control\"" id=\""phone\""></div>""},""after"":{""phrase"":""textbox, 07700900000"",""html"":""<div class=\""form-group\""><label for=\""phone-number\"">Telephone number</label><input type=\""tel\"" class=\""form-control\"" id=\""phone\"" value=\""07700900000\""></div>""}}]"
"placeholder-as-only-label::sample-0","placeholder-as-only-label.html","inaccessible","<form onsubmit=""event.preventDefault()""><div class=""form-group""><input type=""email"" class=""form-control"" id=""email"" placeholder=""Email address""></div><div class=""form-group""><input type=""text"" class=""form-control"" id=""postcode"" placeholder=""Postcode, for example SW1A 1AA""></div><button type=""submit"">Subscribe</button></form>","<main><h1>Sign up for updates</h1><form onsubmit=""event.preventDefault()""><div class=""form-group""><input type=""email"" class=""form-control"" id=""email"" placeholder=""Email address""></div><div class=""form-group""><input type=""text"" class=""form-control"" id=""postcode"" placeholder=""Postcode, for example SW1A 1AA""></div><button type=""submit"">Subscribe</button></form></main>","[""form"",""textbox, placeholder Email address"",""textbox, placeholder Postcode, for example SW1A 1AA"",""button, Subscribe"",""end of form""]","","","[{""field"":""email"",""before"":{""phrase"":""textbox, placeholder Email address"",""html"":""<div class=\""form-group\""><input type=\""email\"" class=\""form-control\"" id=\""email\"" placeholder=\""Email address\""></div>""},""after"":{""phrase"":""textbox, someone@example.com"",""html"":""<div class=\""form-group\""><input type=\""email\"" class=\""form-control\"" id=\""email\"" placeholder=\""Email address\"" value=\""someone@example.com\""></div>""}},{""field"":""postcode"",""before"":{""phrase"":""textbox, placeholder Postcode, for example SW1A 1AA"",""html"":""<div class=\""form-group\""><input type=\""text\"" class=\""form-control\"" id=\""postcode\"" placeholder=\""Postcode, for example SW1A 1AA\""></div>""},""after"":{""phrase"":""textbox, Test entry"",""html"":""<div class=\""form-group\""><input type=\""text\"" class=\""form-control\"" id=\""postcode\"" placeholder=\""Postcode, for example SW1A 1AA\"" value=\""Test entry\""></div>""}}]"
"required-field-marked-by-colour-only::sample-0","required-field-marked-by-colour-only.html","inaccessible","<form onsubmit=""event.preventDefault()""><div class=""form-group required-field""><label for=""contact-name"">Your name</label><input type=""text"" class=""form-control"" id=""contact-name""></div><div class=""form-group required-field""><label for=""contact-email"">Email address</label><input type=""email"" class=""form-control"" id=""contact-email""></div><div class=""form-group""><label for=""contact-company"">Company (you can leave this blank)</label><input type=""text"" class=""form-control"" id=""contact-company""></div><button type=""submit"">Send message</button></form>","<main><h1>Contact us</h1><form onsubmit=""event.preventDefault()""><div class=""form-group required-field""><label for=""contact-name"">Your name</label><input type=""text"" class=""form-control"" id=""contact-name""></div><div class=""form-group required-field""><label for=""contact-email"">Email address</label><input type=""email"" class=""form-control"" id=""contact-email""></div><div class=""form-group""><label for=""contact-company"">Company (you can leave this blank)</label><input type=""text"" class=""form-control"" id=""contact-company""></div><button type=""submit"">Send message</button></form></main>","[""form"",""Your name"",""textbox, Your name"",""Email address"",""textbox, Email address"",""Company (you can leave this blank)"",""textbox, Company (you can leave this blank)"",""button, Send message"",""end of form""]","","","[{""field"":""contact-name"",""before"":{""phrase"":""textbox, Your name"",""html"":""<div class=\""form-group required-field\""><label for=\""contact-name\"">Your name</label><input type=\""text\"" class=\""form-control\"" id=\""contact-name\""></div>""},""after"":{""phrase"":""textbox, Your name, Test entry"",""html"":""<div class=\""form-group required-field\""><label for=\""contact-name\"">Your name</label><input type=\""text\"" class=\""form-control\"" id=\""contact-name\"" value=\""Test entry\""></div>""}},{""field"":""contact-email"",""before"":{""phrase"":""textbox, Email address"",""html"":""<div class=\""form-group required-field\""><label for=\""contact-email\"">Email address</label><input type=\""email\"" class=\""form-control\"" id=\""contact-email\""></div>""},""after"":{""phrase"":""textbox, Email address, someone@example.com"",""html"":""<div class=\""form-group required-field\""><label for=\""contact-email\"">Email address</label><input type=\""email\"" class=\""form-control\"" id=\""contact-email\"" value=\""someone@example.com\""></div>""}},{""field"":""contact-company"",""before"":{""phrase"":""textbox, Company (you can leave this blank)"",""html"":""<div class=\""form-group\""><label for=\""contact-company\"">Company (you can leave this blank)</label><input type=\""text\"" class=\""form-control\"" id=\""contact-company\""></div>""},""after"":{""phrase"":""textbox, Company (you can leave this blank), Test entry"",""html"":""<div class=\""form-group\""><label for=\""contact-company\"">Company (you can leave this blank)</label><input type=\""text\"" class=\""form-control\"" id=\""contact-company\"" value=\""Test entry\""></div>""}}]"
"aria-label-and-aria-describedby::sample-0","aria-label-and-aria-describedby.html","accessible","<form onsubmit=""event.preventDefault()""><div class=""search-row""><input type=""search"" class=""form-control"" id=""registerSearch"" aria-label=""Search the register by company name or number"" aria-describedby=""searchHint""><button type=""submit"">Search</button></div><span class=""hint"" id=""searchHint"">
Enter a full company name, or an 8-digit company number
</span></form>","<main><h1>Search the register</h1><form onsubmit=""event.preventDefault()""><div class=""search-row""><input type=""search"" class=""form-control"" id=""registerSearch"" aria-label=""Search the register by company name or number"" aria-describedby=""searchHint""><button type=""submit"">Search</button></div><span class=""hint"" id=""searchHint"">
Enter a full company name, or an 8-digit company number
</span></form></main>","[""form"",""searchbox, Search the register by company name or number, Enter a full company name, or an 8-digit company number"",""button, Search"",""Enter a full company name, or an 8-digit company number"",""end of form""]","","","[{""field"":""registerSearch"",""before"":{""phrase"":""searchbox, Search the register by company name or number, Enter a full company name, or an 8-digit company number"",""html"":""<div class=\""search-row\""><input type=\""search\"" class=\""form-control\"" id=\""registerSearch\"" aria-label=\""Search the register by company name or number\"" aria-describedby=\""searchHint\""><button type=\""submit\"">Search</button></div>""},""after"":{""phrase"":""searchbox, Search the register by company name or number, Test entry, Enter a full company name, or an 8-digit company number"",""html"":""<div class=\""search-row\""><input type=\""search\"" class=\""form-control\"" id=\""registerSearch\"" aria-label=\""Search the register by company name or number\"" aria-describedby=\""searchHint\"" value=\""Test entry\""><button type=\""submit\"">Search</button></div>""}}]"
"fieldset-legend-with-group-instruction::sample-0","fieldset-legend-with-group-instruction.html","accessible","<form onsubmit=""event.preventDefault()""><fieldset aria-describedby=""dobHint""><legend>Date of birth</legend><span class=""hint"" id=""dobHint"">For example, 31 3 1980</span><div class=""date-part""><label for=""dob-day"">Day</label><input type=""text"" class=""form-control"" id=""dob-day"" inputmode=""numeric""></div><div class=""date-part""><label for=""dob-month"">Month</label><input type=""text"" class=""form-control"" id=""dob-month"" inputmode=""numeric""></div><div class=""date-part""><label for=""dob-year"">Year</label><input type=""text"" class=""form-control"" id=""dob-year"" inputmode=""numeric""></div></fieldset><button type=""submit"">Continue</button></form>","<main><h1>Your details</h1><form onsubmit=""event.preventDefault()""><fieldset aria-describedby=""dobHint""><legend>Date of birth</legend><span class=""hint"" id=""dobHint"">For example, 31 3 1980</span><div class=""date-part""><label for=""dob-day"">Day</label><input type=""text"" class=""form-control"" id=""dob-day"" inputmode=""numeric""></div><div class=""date-part""><label for=""dob-month"">Month</label><input type=""text"" class=""form-control"" id=""dob-month"" inputmode=""numeric""></div><div class=""date-part""><label for=""dob-year"">Year</label><input type=""text"" class=""form-control"" id=""dob-year"" inputmode=""numeric""></div></fieldset><button type=""submit"">Continue</button></form></main>","[""form"",""group, Date of birth, For example, 31 3 1980"",""Date of birth"",""For example, 31 3 1980"",""Day"",""textbox, Day"",""Month"",""textbox, Month"",""Year"",""textbox, Year"",""end of group, Date of birth, For example, 31 3 1980"",""button, Continue"",""end of form""]","","","[{""field"":""dob-day"",""before"":{""phrase"":""textbox, Day"",""html"":""<div class=\""date-part\""><label for=\""dob-day\"">Day</label><input type=\""text\"" class=\""form-control\"" id=\""dob-day\"" inputmode=\""numeric\""></div>""},""after"":{""phrase"":""textbox, Day, Test entry"",""html"":""<div class=\""date-part\""><label for=\""dob-day\"">Day</label><input type=\""text\"" class=\""form-control\"" id=\""dob-day\"" inputmode=\""numeric\"" value=\""Test entry\""></div>""}},{""field"":""dob-month"",""before"":{""phrase"":""textbox, Month"",""html"":""<div class=\""date-part\""><label for=\""dob-month\"">Month</label><input type=\""text\"" class=\""form-control\"" id=\""dob-month\"" inputmode=\""numeric\""></div>""},""after"":{""phrase"":""textbox, Month, Test entry"",""html"":""<div class=\""date-part\""><label for=\""dob-month\"">Month</label><input type=\""text\"" class=\""form-control\"" id=\""dob-month\"" inputmode=\""numeric\"" value=\""Test entry\""></div>""}},{""field"":""dob-year"",""before"":{""phrase"":""textbox, Year"",""html"":""<div class=\""date-part\""><label for=\""dob-year\"">Year</label><input type=\""text\"" class=\""form-control\"" id=\""dob-year\"" inputmode=\""numeric\""></div>""},""after"":{""phrase"":""textbox, Year, Test entry"",""html"":""<div class=\""date-part\""><label for=\""dob-year\"">Year</label><input type=\""text\"" class=\""form-control\"" id=\""dob-year\"" inputmode=\""numeric\"" value=\""Test entry\""></div>""}}]"
"label-for-with-describedby-hint::sample-0","label-for-with-describedby-hint.html","accessible","<form onsubmit=""event.preventDefault()""><div class=""form-group""><label for=""email"">Email address</label><span class=""hint"" id=""emailHint"">Enter it in the format name@example.com</span><input type=""email"" class=""form-control"" id=""email"" aria-describedby=""emailHint""></div><div class=""form-group""><label for=""postcode"">Postcode</label><span class=""hint"" id=""postcodeHint"">For example SW1A 1AA</span><input type=""text"" class=""form-control"" id=""postcode"" aria-describedby=""postcodeHint"" required=""""></div><button type=""submit"">Subscribe</button></form>","<main><h1>Sign up for updates</h1><form onsubmit=""event.preventDefault()""><div class=""form-group""><label for=""email"">Email address</label><span class=""hint"" id=""emailHint"">Enter it in the format name@example.com</span><input type=""email"" class=""form-control"" id=""email"" aria-describedby=""emailHint""></div><div class=""form-group""><label for=""postcode"">Postcode</label><span class=""hint"" id=""postcodeHint"">For example SW1A 1AA</span><input type=""text"" class=""form-control"" id=""postcode"" aria-describedby=""postcodeHint"" required=""""></div><button type=""submit"">Subscribe</button></form></main>","[""form"",""Email address"",""Enter it in the format name@example.com"",""textbox, Email address, Enter it in the format name@example.com"",""Postcode"",""For example SW1A 1AA"",""textbox, Postcode, For example SW1A 1AA, required"",""button, Subscribe"",""end of form""]","","","[{""field"":""email"",""before"":{""phrase"":""textbox, Email address, Enter it in the format name@example.com"",""html"":""<div class=\""form-group\""><label for=\""email\"">Email address</label><span class=\""hint\"" id=\""emailHint\"">Enter it in the format name@example.com</span><input type=\""email\"" class=\""form-control\"" id=\""email\"" aria-describedby=\""emailHint\""></div>""},""after"":{""phrase"":""textbox, Email address, someone@example.com, Enter it in the format name@example.com"",""html"":""<div class=\""form-group\""><label for=\""email\"">Email address</label><span class=\""hint\"" id=\""emailHint\"">Enter it in the format name@example.com</span><input type=\""email\"" class=\""form-control\"" id=\""email\"" aria-describedby=\""emailHint\"" value=\""someone@example.com\""></div>""}},{""field"":""postcode"",""before"":{""phrase"":""textbox, Postcode, For example SW1A 1AA, required"",""html"":""<div class=\""form-group\""><label for=\""postcode\"">Postcode</label><span class=\""hint\"" id=\""postcodeHint\"">For example SW1A 1AA</span><input type=\""text\"" class=\""form-control\"" id=\""postcode\"" aria-describedby=\""postcodeHint\"" required=\""\""></div>""},""after"":{""phrase"":""textbox, Postcode, Test entry, For example SW1A 1AA, required"",""html"":""<div class=\""form-group\""><label for=\""postcode\"">Postcode</label><span class=\""hint\"" id=\""postcodeHint\"">For example SW1A 1AA</span><input type=\""text\"" class=\""form-control\"" id=\""postcode\"" aria-describedby=\""postcodeHint\"" required=\""\"" value=\""Test entry\""></div>""}}]"
"required-field-marked-in-text::sample-0","required-field-marked-in-text.html","accessible","<form onsubmit=""event.preventDefault()""><div class=""form-group""><label for=""contact-name"">Your name <span class=""required-marker"">(required)</span></label><input type=""text"" class=""form-control"" id=""contact-name"" required=""""></div><div class=""form-group""><label for=""contact-email"">Email address <span class=""required-marker"">(required)</span></label><input type=""email"" class=""form-control"" id=""contact-email"" required=""""></div><div class=""form-group""><label for=""contact-company"">Company (optional)</label><input type=""text"" class=""form-control"" id=""contact-company""></div><button type=""submit"">Send message</button></form>","<main><h1>Contact us</h1><form onsubmit=""event.preventDefault()""><div class=""form-group""><label for=""contact-name"">Your name <span class=""required-marker"">(required)</span></label><input type=""text"" class=""form-control"" id=""contact-name"" required=""""></div><div class=""form-group""><label for=""contact-email"">Email address <span class=""required-marker"">(required)</span></label><input type=""email"" class=""form-control"" id=""contact-email"" required=""""></div><div class=""form-group""><label for=""contact-company"">Company (optional)</label><input type=""text"" class=""form-control"" id=""contact-company""></div><button type=""submit"">Send message</button></form></main>","[""form"",""Your name"",""(required)"",""textbox, Your name (required), required"",""Email address"",""(required)"",""textbox, Email address (required), required"",""Company (optional)"",""textbox, Company (optional)"",""button, Send message"",""end of form""]","","","[{""field"":""contact-name"",""before"":{""phrase"":""textbox, Your name (required), required"",""html"":""<div class=\""form-group\""><label for=\""contact-name\"">Your name <span class=\""required-marker\"">(required)</span></label><input type=\""text\"" class=\""form-control\"" id=\""contact-name\"" required=\""\""></div>""},""after"":{""phrase"":""textbox, Your name (required), Test entry, required"",""html"":""<div class=\""form-group\""><label for=\""contact-name\"">Your name <span class=\""required-marker\"">(required)</span></label><input type=\""text\"" class=\""form-control\"" id=\""contact-name\"" required=\""\"" value=\""Test entry\""></div>""}},{""field"":""contact-email"",""before"":{""phrase"":""textbox, Email address (required), required"",""html"":""<div class=\""form-group\""><label for=\""contact-email\"">Email address <span class=\""required-marker\"">(required)</span></label><input type=\""email\"" class=\""form-control\"" id=\""contact-email\"" required=\""\""></div>""},""after"":{""phrase"":""textbox, Email address (required), someone@example.com, required"",""html"":""<div class=\""form-group\""><label for=\""contact-email\"">Email address <span class=\""required-marker\"">(required)</span></label><input type=\""email\"" class=\""form-control\"" id=\""contact-email\"" required=\""\"" value=\""someone@example.com\""></div>""}},{""field"":""contact-company"",""before"":{""phrase"":""textbox, Company (optional)"",""html"":""<div class=\""form-group\""><label for=\""contact-company\"">Company (optional)</label><input type=\""text\"" class=\""form-control\"" id=\""contact-company\""></div>""},""after"":{""phrase"":""textbox, Company (optional), Test entry"",""html"":""<div class=\""form-group\""><label for=\""contact-company\"">Company (optional)</label><input type=\""text\"" class=\""form-control\"" id=\""contact-company\"" value=\""Test entry\""></div>""}}]"
"wrapping-label-with-instruction::sample-0","wrapping-label-with-instruction.html","accessible","<form onsubmit=""event.preventDefault()""><div class=""form-group""><label>
Full name
<span class=""hint"">Include any middle names</span><input type=""text"" class=""form-control"" id=""fullname""></label></div><div class=""form-group""><label>
Telephone number
<span class=""hint"">Include the area code, for example 01632 960001</span><input type=""tel"" class=""form-control"" id=""phone""></label></div><button type=""submit"">Save</button></form>","<main><h1>Update your details</h1><form onsubmit=""event.preventDefault()""><div class=""form-group""><label>
Full name
<span class=""hint"">Include any middle names</span><input type=""text"" class=""form-control"" id=""fullname""></label></div><div class=""form-group""><label>
Telephone number
<span class=""hint"">Include the area code, for example 01632 960001</span><input type=""tel"" class=""form-control"" id=""phone""></label></div><button type=""submit"">Save</button></form></main>","[""form"",""Full name"",""Include any middle names"",""textbox, Full name Include any middle names"",""Telephone number"",""Include the area code, for example 01632 960001"",""textbox, Telephone number Include the area code, for example 01632 960001"",""button, Save"",""end of form""]","","","[{""field"":""fullname"",""before"":{""phrase"":""textbox, Full name Include any middle names"",""html"":""<label>\nFull name\n<span class=\""hint\"">Include any middle names</span><input type=\""text\"" class=\""form-control\"" id=\""fullname\""></label>""},""after"":{""phrase"":""textbox, Full name Include any middle names, Test entry"",""html"":""<label>\nFull name\n<span class=\""hint\"">Include any middle names</span><input type=\""text\"" class=\""form-control\"" id=\""fullname\"" value=\""Test entry\""></label>""}},{""field"":""phone"",""before"":{""phrase"":""textbox, Telephone number Include the area code, for example 01632 960001"",""html"":""<label>\nTelephone number\n<span class=\""hint\"">Include the area code, for example 01632 960001</span><input type=\""tel\"" class=\""form-control\"" id=\""phone\""></label>""},""after"":{""phrase"":""textbox, Telephone number Include the area code, for example 01632 960001, 07700900000"",""html"":""<label>\nTelephone number\n<span class=\""hint\"">Include the area code, for example 01632 960001</span><input type=\""tel\"" class=\""form-control\"" id=\""phone\"" value=\""07700900000\""></label>""}}]"
