"sample_id","source_file","source_suite","wcag_sc","failure_category","failure_technique","label","label_source","captured_at","nvda_version","nvda_locale","nvda_verbosity","browser","browser_version","axe_version","capture_mode","element_type","element_tag","element_selector","element_text","element_html_raw","element_html_normalized","parent_tag","parent_tag_path","parent_html","ancestor_roles","css_generated_content","hidden_content","sr_nav_commands","sr_transcript","sr_reading_order","sr_last_phrase","sr_phrase_count","sr_cell_walk","sr_headers_announced","ax_role","ax_name","ax_level","ax_subtree","table_cell_structure","axe_violations","axe_wcag131_violations"
"css-displaynone-used-to-visually-hide-content-when-it-should-be-available-to-screenreader::sample-0","css-displaynone-used-to-visually-hide-content-when-it-should-be-available-to-screenreader.html","GDS-accessibility-audit","1.3.1","css","displaynone-used-to-visually-hide-content-when-it-should-be-available-to-screenreader","inaccessible","source-folder-ground-truth","2026-07-06T08:09:43.503Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","block","main","body > main","Read more about football","<main><a href=""football.html"">Read more <span style=""display:none""> about football</span></a></main>","<main><a href=""football.html"">Read more <span style=""display:none""> about football</span></a></main>","body","body","<body><h1>Do you know what is football?</h1><main><a href=""football.html"">Read more <span style=""display:none""> about football</span></a></main></body>","[""body""]","[]","[{""selector"":""span"",""method"":""display:none"",""text"":""about football""}]","virtual-screen-reader: start(container=element) + next() to end","[""main"",""link, Read more"",""Read more"",""end of link, Read more"",""end of main""]","[""document"",""heading, Do you know what is football?, level 1"",""main"",""link, Read more"",""Read more"",""end of link, Read more"",""end of main"",""end of document""]","end of main","5","","","main","","","- main:
  - link ""Read more"":
    - /url: football.html","","[]","[]"
"css-non-decorative-content-inserted-using-css::sample-0","css-non-decorative-content-inserted-using-css.html","GDS-accessibility-audit","1.3.1","css","non-decorative-content-inserted-using-css","inaccessible","source-folder-ground-truth","2026-07-06T08:09:43.755Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","block","main","body > main","My favourite food is","<main><p id=""css-generated-text"">My favourite food is </p></main>","<main><p id=""css-generated-text"">My favourite food is </p></main>","body","body","<body><h1>Find out what is my favorite food</h1><main><p id=""css-generated-text"">My favourite food is </p></main></body>","[""body""]","[{""selector"":""p#css-generated-text"",""pseudo"":""after"",""content"":""Pizza""}]","[]","virtual-screen-reader: start(container=element) + next() to end","[""main"",""paragraph"",""My favourite food is"",""end of paragraph"",""end of main""]","[""document"",""heading, Find out what is my favorite food, level 1"",""main"",""paragraph"",""My favourite food is"",""end of paragraph"",""end of main"",""end of document""]","end of main","5","","","main","","","- main:
  - paragraph: My favourite food is Pizza","","[]","[]"
"css-visibilityhidden-used-to-visually-hide-content-when-it-should-be-available-to-screenreader::sample-0","css-visibilityhidden-used-to-visually-hide-content-when-it-should-be-available-to-screenreader.html","GDS-accessibility-audit","1.3.1","css","visibilityhidden-used-to-visually-hide-content-when-it-should-be-available-to-screenreader","inaccessible","source-folder-ground-truth","2026-07-06T08:09:43.998Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","block","main","body > main","Read more about rugby","<main><a href=""rugby.html"">Read more <span style=""visibility:hidden""> about rugby</span></a></main>","<main><a href=""rugby.html"">Read more <span style=""visibility:hidden""> about rugby</span></a></main>","body","body","<body><h1>Do you know what is the rugby?</h1><main><a href=""rugby.html"">Read more <span style=""visibility:hidden""> about rugby</span></a></main></body>","[""body""]","[]","[{""selector"":""span"",""method"":""visibility:hidden"",""text"":""about rugby""}]","virtual-screen-reader: start(container=element) + next() to end","[""main"",""link, Read more"",""Read more"",""end of link, Read more"",""end of main""]","[""document"",""heading, Do you know what is the rugby?, level 1"",""main"",""link, Read more"",""Read more"",""end of link, Read more"",""end of main"",""end of document""]","end of main","5","","","main","","","- main:
  - link ""Read more"":
    - /url: rugby.html","","[]","[]"
"forms-empty-legend::sample-0","forms-empty-legend.html","GDS-accessibility-audit","1.3.1","forms","empty-legend","inaccessible","source-folder-ground-truth","2026-07-06T08:09:44.251Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","block","main","body > main","","<main><form><fieldset><legend></legend></fieldset></form></main>","<main><form><fieldset><legend></legend></fieldset></form></main>","body","body","<body><h1>A legend</h1><main><form><fieldset><legend></legend></fieldset></form></main></body>","[""body""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""main"",""form"",""group"",""end of form"",""end of main""]","[""document"",""heading, A legend, level 1"",""main"",""form"",""group"",""end of form"",""end of main"",""end of document""]","end of main","5","","","main","","","- main:
  - group","","[]","[]"
"forms-fieldset-without-a-legend::sample-0","forms-fieldset-without-a-legend.html","GDS-accessibility-audit","1.3.1","forms","fieldset-without-a-legend","inaccessible","source-folder-ground-truth","2026-07-06T08:09:44.523Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","block","main","body > main","I am a fieldset without a legend","<main><form><fieldset>
I am a fieldset without a legend
</fieldset></form></main>","<main><form><fieldset>
I am a fieldset without a legend
</fieldset></form></main>","body","body","<body><h1>Fieldset</h1><main><form><fieldset>
I am a fieldset without a legend
</fieldset></form></main></body>","[""body""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""main"",""form"",""group"",""I am a fieldset without a legend"",""end of group"",""end of form"",""end of main""]","[""document"",""heading, Fieldset, level 1"",""main"",""form"",""group"",""I am a fieldset without a legend"",""end of group"",""end of form"",""end of main"",""end of document""]","end of main","7","","","main","","","- main:
  - group: I am a fieldset without a legend","","[]","[]"
"forms-group-of-check-boxes-not-enclosed-in-a-fieldset::sample-0","forms-group-of-check-boxes-not-enclosed-in-a-fieldset.html","GDS-accessibility-audit","1.3.1","forms","group-of-check-boxes-not-enclosed-in-a-fieldset","inaccessible","source-folder-ground-truth","2026-07-06T08:09:44.872Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","block","main","body > main","Which types of waste do you transport regularly? Waste from animal carcasses Waste from mines or quarries Farm or agricultural waste","<main><form><h4>Which types of waste do you transport regularly?</h4><label class=""block-label"" for=""waste-type-1""><input id=""waste-type-1"" name=""waste-types"" type=""checkbox"" value=""waste-animal"">
Waste from animal carcasses
</label><br><label class=""block-label"" for=""waste-type-2""><input id=""waste-type-2"" name=""waste-types"" type=""checkbox"" value=""waste-mines"">
Waste from mines or quarries
</label><br><label class=""block-label"" for=""waste-type-3""><input id=""waste-type-3"" name=""waste-types"" type=""checkbox"" value=""waste-farm-agricultural"">
Farm or agricultural waste
</label></form></main>","<main><form><h4>Which types of waste do you transport regularly?</h4><label class=""block-label"" for=""waste-type-1""><input id=""waste-type-1"" name=""waste-types"" type=""checkbox"" value=""waste-animal"">
Waste from animal carcasses
</label><br><label class=""block-label"" for=""waste-type-2""><input id=""waste-type-2"" name=""waste-types"" type=""checkbox"" value=""waste-mines"">
Waste from mines or quarries
</label><br><label class=""block-label"" for=""waste-type-3""><input id=""waste-type-3"" name=""waste-types"" type=""checkbox"" value=""waste-farm-agricultural"">
Farm or agricultural waste
</label></form></main>","body","body","<body><h1>Group of check boxes</h1><main><form><h4>Which types of waste do you transport regularly?</h4><label class=""block-label"" for=""waste-type-1""><input id=""waste-type-1"" name=""waste-types"" type=""checkbox"" value=""waste-animal"">
Waste from animal carcasses
</label><br><label class=""block-label"" for=""waste-type-2""><input id=""waste-type-2"" name=""waste-types"" type=""checkbox"" value=""waste-mines"">
Waste from mines or quarries
</label><br><label class=""block-label"" for=""waste-type-3""><input id=""waste-type-3"" name=""waste-types"" type=""checkbox"" value=""waste-farm-agricultural"">
Farm or agricultural waste
</label></form></main></body>","[""body""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""main"",""form"",""heading, Which types of waste do you transport regularly?, level 4"",""checkbox, Waste from animal carcasses, not checked"",""Waste from animal carcasses"",""checkbox, Waste from mines or quarries, not checked"",""Waste from mines or quarries"",""checkbox, Farm or agricultural waste, not checked"",""Farm or agricultural waste"",""end of form"",""end of main""]","[""document"",""heading, Group of check boxes, level 1"",""main"",""form"",""heading, Which types of waste do you transport regularly?, level 4"",""checkbox, Waste from animal carcasses, not checked"",""Waste from animal carcasses"",""checkbox, Waste from mines or quarries, not checked"",""Waste from mines or quarries"",""checkbox, Farm or agricultural waste, not checked"",""Farm or agricultural waste"",""end of form"",""end of main"",""end of document""]","end of main","11","","","main","","","- main:
  - heading ""Which types of waste do you transport regularly?"" [level=4]
  - checkbox ""Waste from animal carcasses""
  - text: Waste from animal carcasses
  - checkbox ""Waste from mines or quarries""
  - text: Waste from mines or quarries
  - checkbox ""Farm or agricultural waste""
  - text: Farm or agricultural waste","","[{""id"":""heading-order"",""impact"":""moderate"",""help"":""Heading levels should only increase by one"",""tags"":[""cat.semantics"",""best-practice""],""nodes"":[{""html"":""<h4>Which types of waste do you transport regularly?</h4>"",""target"":[""h4""]}]}]","[]"
"forms-group-of-radio-buttons-not-enclosed-in-a-fieldset::sample-0","forms-group-of-radio-buttons-not-enclosed-in-a-fieldset.html","GDS-accessibility-audit","1.3.1","forms","group-of-radio-buttons-not-enclosed-in-a-fieldset","inaccessible","source-folder-ground-truth","2026-07-06T08:09:45.181Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","block","main","body > main","Do you already have a personal user account? Yes No","<main><form><h4>Do you already have a personal user account?</h4><label class=""block-label"" for=""radio-inline-1""><input id=""radio-inline-1"" name=""radio-inline-group"" type=""radio"" value=""Yes"">
Yes
</label><br><label class=""block-label"" for=""radio-inline-2""><input id=""radio-inline-2"" name=""radio-inline-group"" type=""radio"" value=""No"">
No
</label></form></main>","<main><form><h4>Do you already have a personal user account?</h4><label class=""block-label"" for=""radio-inline-1""><input id=""radio-inline-1"" name=""radio-inline-group"" type=""radio"" value=""Yes"">
Yes
</label><br><label class=""block-label"" for=""radio-inline-2""><input id=""radio-inline-2"" name=""radio-inline-group"" type=""radio"" value=""No"">
No
</label></form></main>","body","body","<body><h1>Group of radio buttons</h1><main><form><h4>Do you already have a personal user account?</h4><label class=""block-label"" for=""radio-inline-1""><input id=""radio-inline-1"" name=""radio-inline-group"" type=""radio"" value=""Yes"">
Yes
</label><br><label class=""block-label"" for=""radio-inline-2""><input id=""radio-inline-2"" name=""radio-inline-group"" type=""radio"" value=""No"">
No
</label></form></main></body>","[""body""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""main"",""form"",""heading, Do you already have a personal user account?, level 4"",""radio, Yes, not checked, position 1, set size 2"",""Yes"",""radio, No, not checked, position 2, set size 2"",""No"",""end of form"",""end of main""]","[""document"",""heading, Group of radio buttons, level 1"",""main"",""form"",""heading, Do you already have a personal user account?, level 4"",""radio, Yes, not checked, position 1, set size 2"",""Yes"",""radio, No, not checked, position 2, set size 2"",""No"",""end of form"",""end of main"",""end of document""]","end of main","9","","","main","","","- main:
  - heading ""Do you already have a personal user account?"" [level=4]
  - radio ""Yes""
  - text: ""Yes""
  - radio ""No""
  - text: ""No""","","[{""id"":""heading-order"",""impact"":""moderate"",""help"":""Heading levels should only increase by one"",""tags"":[""cat.semantics"",""best-practice""],""nodes"":[{""html"":""<h4>Do you already have a personal user account?</h4>"",""target"":[""h4""]}]}]","[]"
"headings-headings-not-structured-in-a-hierarchical-manner::sample-0","headings-headings-not-structured-in-a-hierarchical-manner.html","GDS-accessibility-audit","1.3.1","headings","headings-not-structured-in-a-hierarchical-manner","inaccessible","source-folder-ground-truth","2026-07-06T08:09:45.524Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","block","main","body > main","Heading 3 Pages should be structured in a hierarchical manner, generally with one 1st degree headings (h1) being the most important (usually page titles or main content heading), then 2nd degree headings (h2 - usually major section headings), down to 3rd degree headings (sub-sections of the h2), and so on. Heading 5 Technically, lower degree headings should be contained within headings of the next highest degree (i.e., one should not skip heading levels, such as from an h2 to an h4, going down the document). Heading 4","<main><h3>Heading 3</h3><p>Pages should be structured in a hierarchical manner, generally with one 1st degree headings (h1) being the
most important (usually page titles or main content heading), then 2nd degree headings (h2 - usually major
section headings), down to 3rd degree headings (sub-sections of the h2), and so on. </p><h5>Heading 5</h5><p>Technically, lower degree headings should be contained within headings of the next highest degree
(i.e., one should not skip heading levels, such as from an h2 to an h4, going down the document).</p><h4>Heading 4</h4></main>","<main><h3>Heading 3</h3><p>Pages should be structured in a hierarchical manner, generally with one 1st degree headings (h1) being the
most important (usually page titles or main content heading), then 2nd degree headings (h2 - usually major
section headings), down to 3rd degree headings (sub-sections of the h2), and so on. </p><h5>Heading 5</h5><p>Technically, lower degree headings should be contained within headings of the next highest degree
(i.e., one should not skip heading levels, such as from an h2 to an h4, going down the document).</p><h4>Heading 4</h4></main>","body","body","<body><h1>A couple of Headings</h1><main><h3>Heading 3</h3><p>Pages should be structured in a hierarchical manner, generally with one 1st degree headings (h1) being the
most important (usually page titles or main content heading), then 2nd degree headings (h2 - usually major
section headings), down to 3rd degree headings (sub-sections of the h2), and so on. </p><h5>Heading 5</h5><p>Technically, lower degree headings should be contained within headings of the next highest degree
(i.e., one should not skip heading levels, such as from an h2 to an h4, going down the document).</p><h4>Heading 4</h4></main></body>","[""body""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""main"",""heading, Heading 3, level 3"",""paragraph"",""Pages should be structured in a hierarchical manner, generally with one 1st degree headings (h1) being the most important (usually page titles or main content heading), then 2nd degree headings (h2 - usually major section headings), down to 3rd degree headings (sub-sections of the h2), and so on."",""end of paragraph"",""heading, Heading 5, level 5"",""paragraph"",""Technically, lower degree headings should be contained within headings of the next highest degree (i.e., one should not skip heading levels, such as from an h2 to an h4, going down the document)."",""end of paragraph"",""heading, Heading 4, level 4"",""end of main""]","[""document"",""heading, A couple of Headings, level 1"",""main"",""heading, Heading 3, level 3"",""paragraph"",""Pages should be structured in a hierarchical manner, generally with one 1st degree headings (h1) being the most important (usually page titles or main content heading), then 2nd degree headings (h2 - usually major section headings), down to 3rd degree headings (sub-sections of the h2), and so on."",""end of paragraph"",""heading, Heading 5, level 5"",""paragraph"",""Technically, lower degree headings should be contained within headings of the next highest degree (i.e., one should not skip heading levels, such as from an h2 to an h4, going down the document)."",""end of paragraph"",""heading, Heading 4, level 4"",""end of main"",""end of document""]","end of main","11","","","main","","","- main:
  - heading ""Heading 3"" [level=3]
  - paragraph: Pages should be structured in a hierarchical manner, generally with one 1st degree headings (h1) being the most important (usually page titles or main content heading), then 2nd degree headings (h2 - usually major section headings), down to 3rd degree headings (sub-sections of the h2), and so on.
  - heading ""Heading 5"" [level=5]
  - paragraph: Technically, lower degree headings should be contained within headings of the next highest degree (i.e., one should not skip heading levels, such as from an h2 to an h4, going down the document).
  - heading ""Heading 4"" [level=4]","","[{""id"":""heading-order"",""impact"":""moderate"",""help"":""Heading levels should only increase by one"",""tags"":[""cat.semantics"",""best-practice""],""nodes"":[{""html"":""<h3>Heading 3</h3>"",""target"":[""h3""]},{""html"":""<h5>Heading 5</h5>"",""target"":[""h5""]}]}]","[]"
"headings-text-formatting-used-instead-of-an-actual-heading::sample-0","headings-text-formatting-used-instead-of-an-actual-heading.html","GDS-accessibility-audit","1.3.1","headings","text-formatting-used-instead-of-an-actual-heading","inaccessible","source-folder-ground-truth","2026-07-06T08:09:45.777Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","block","main","body > main","This is a div contains some texts This paragraph is preceded by a div","<main><div class=""fake-heading"">This is a div contains some texts</div><p>This paragraph is preceded by a div</p></main>","<main><div class=""fake-heading"">This is a div contains some texts</div><p>This paragraph is preceded by a div</p></main>","body","body","<body><h1>A heading</h1><main><div class=""fake-heading"">This is a div contains some texts</div><p>This paragraph is preceded by a div</p></main></body>","[""body""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""main"",""This is a div contains some texts"",""paragraph"",""This paragraph is preceded by a div"",""end of paragraph"",""end of main""]","[""document"",""heading, A heading, level 1"",""main"",""This is a div contains some texts"",""paragraph"",""This paragraph is preceded by a div"",""end of paragraph"",""end of main"",""end of document""]","end of main","6","","","main","","","- main:
  - text: This is a div contains some texts
  - paragraph: This paragraph is preceded by a div","","[]","[]"
"html-article-element-used-to-mark-up-an-element-thats-not-an-article-blog-post-etc.::sample-0","html-article-element-used-to-mark-up-an-element-thats-not-an-article-blog-post-etc..html","GDS-accessibility-audit","1.3.1","html","article-element-used-to-mark-up-an-element-thats-not-an-article-blog-post-etc.","inaccessible","source-folder-ground-truth","2026-07-06T08:09:46.138Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","ul","ul","body > main > article > nav > ul","Your rights as an agency worker Advisory, Conciliation and Arbitration Service (Acas)","<ul><li><a href=""/agency-workers-your-rights"">Your rights as an agency worker</a></li><li><a href=""/acas"">Advisory, Conciliation and Arbitration Service (Acas)</a></li></ul>","<ul><li><a href=""/agency-workers-your-rights"">Your rights as an agency worker</a></li><li><a href=""/acas"">Advisory, Conciliation and Arbitration Service (Acas)</a></li></ul>","nav","body > main > article > nav","<nav aria-labelledby=""parent-other"" role=""navigation""><ul><li><a href=""/agency-workers-your-rights"">Your rights as an agency worker</a></li><li><a href=""/acas"">Advisory, Conciliation and Arbitration Service (Acas)</a></li></ul></nav>","[""body"",""main"",""article"",""navigation""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""list"",""listitem, level 1, position 1, set size 2"",""link, Your rights as an agency worker"",""end of listitem, level 1, position 1, set size 2"",""listitem, level 1, position 2, set size 2"",""link, Advisory, Conciliation and Arbitration Service (Acas)"",""end of listitem, level 1, position 2, set size 2"",""end of list""]","[""document"",""heading, An Article element., level 1"",""main"",""article"",""heading, Elsewhere on GOV.UK, level 2"",""navigation, Elsewhere on GOV.UK"",""list"",""listitem, level 1, position 1, set size 2"",""link, Your rights as an agency worker"",""end of listitem, level 1, position 1, set size 2"",""listitem, level 1, position 2, set size 2"",""link, Advisory, Conciliation and Arbitration Service (Acas)"",""end of listitem, level 1, position 2, set size 2"",""end of list"",""end of navigation, Elsewhere on GOV.UK"",""end of article"",""end of main"",""end of document""]","end of list","8","","","list","","","- list:
  - listitem:
    - link ""Your rights as an agency worker"":
      - /url: /agency-workers-your-rights
  - listitem:
    - link ""Advisory, Conciliation and Arbitration Service (Acas)"":
      - /url: /acas","","[]","[]"
