sample_id,source_file,label,element_html,parent_html,sr_transcript,sr_status_announcement,sr_role_state_value
control-with-role-but-no-accessible-name::sample-0,control-with-role-but-no-accessible-name.html,inaccessible,"<div class=""icon-checkbox"" role=""checkbox"" tabindex=""0"" aria-checked=""false"" onclick=""toggleChecked(this)""></div>","<main><h1>Terms and conditions</h1><div class=""icon-checkbox"" role=""checkbox"" tabindex=""0"" aria-checked=""false"" onclick=""toggleChecked(this)""></div><span aria-hidden=""true"">I agree to the terms and conditions</span></main>","[""checkbox, not checked""]",,"{""before"":{""phrase"":""checkbox, not checked"",""html"":""<div class=\""icon-checkbox\"" role=\""checkbox\"" tabindex=\""0\"" aria-checked=\""false\"" onclick=\""toggleChecked(this)\""></div>""},""after"":{""phrase"":""checkbox, checked"",""html"":""<div class=\""icon-checkbox\"" role=\""checkbox\"" tabindex=\""0\"" aria-checked=\""true\"" onclick=\""toggleChecked(this)\""></div>""}}"
div-checkbox-no-role-no-state::sample-0,div-checkbox-no-role-no-state.html,inaccessible,"<main><h1>Sign up for updates</h1><div class=""fake-checkbox"" onclick=""toggleFake(this)""></div><span>Email me about new features</span></main>","<body><main><h1>Sign up for updates</h1><div class=""fake-checkbox"" onclick=""toggleFake(this)""></div><span>Email me about new features</span></main></body>","[""main"",""heading, Sign up for updates, level 1"",""Email me about new features"",""end of main""]",,
invalid-aria-checked-value::sample-0,invalid-aria-checked-value.html,inaccessible,"<div class=""switch"" role=""switch"" tabindex=""0"" aria-checked=""yes"" aria-label=""Enable dark mode""></div>","<main><h1>Display settings</h1><!-- FAIL: aria-checked only accepts ""true"" | ""false"" | ""mixed"". ""yes"" is
not a valid enumerated value, so assistive tech cannot reliably
report the switch's state even though the role and name are fine. --><div class=""switch"" role=""switch"" tabindex=""0"" aria-checked=""yes"" aria-label=""Enable dark mode""></div></main>","[""switch, Enable dark mode, checked""]",,"{""before"":{""phrase"":""switch, Enable dark mode, checked"",""html"":""<div class=\""switch\"" role=\""switch\"" tabindex=\""0\"" aria-checked=\""yes\"" aria-label=\""Enable dark mode\""></div>""},""after"":{""phrase"":""switch, Enable dark mode, checked"",""html"":""<div class=\""switch\"" role=\""switch\"" tabindex=\""0\"" aria-checked=\""yes\"" aria-label=\""Enable dark mode\""></div>""}}"
switch-role-without-aria-checked::sample-0,switch-role-without-aria-checked.html,inaccessible,"<div class=""switch"" role=""switch"" tabindex=""0"" aria-label=""Email notifications"" onclick=""toggleFake(this)""></div>","<main><h1>Notification settings</h1><div class=""switch"" role=""switch"" tabindex=""0"" aria-label=""Email notifications"" onclick=""toggleFake(this)""></div></main>","[""switch, Email notifications, not checked""]",,"{""before"":{""phrase"":""switch, Email notifications, not checked"",""html"":""<div class=\""switch\"" role=\""switch\"" tabindex=\""0\"" aria-label=\""Email notifications\"" onclick=\""toggleFake(this)\""></div>""},""after"":{""phrase"":""switch, Email notifications, not checked"",""html"":""<div class=\""switch on\"" role=\""switch\"" tabindex=\""0\"" aria-label=\""Email notifications\"" onclick=\""toggleFake(this)\""></div>""}}"
toggle-visually-updates-but-aria-checked-never-changes::sample-0,toggle-visually-updates-but-aria-checked-never-changes.html,inaccessible,"<div class=""checkbox"" role=""checkbox"" tabindex=""0"" aria-checked=""false"" aria-label=""Subscribe to newsletter"" onclick=""toggleVisualOnly(this)""></div>","<main><h1>Subscribe to newsletter</h1><div class=""checkbox"" role=""checkbox"" tabindex=""0"" aria-checked=""false"" aria-label=""Subscribe to newsletter"" onclick=""toggleVisualOnly(this)""></div></main>","[""checkbox, Subscribe to newsletter, not checked""]",,"{""before"":{""phrase"":""checkbox, Subscribe to newsletter, not checked"",""html"":""<div class=\""checkbox\"" role=\""checkbox\"" tabindex=\""0\"" aria-checked=\""false\"" aria-label=\""Subscribe to newsletter\"" onclick=\""toggleVisualOnly(this)\""></div>""},""after"":{""phrase"":""checkbox, Subscribe to newsletter, not checked"",""html"":""<div class=\""checkbox checked\"" role=\""checkbox\"" tabindex=\""0\"" aria-checked=\""false\"" aria-label=\""Subscribe to newsletter\"" onclick=\""toggleVisualOnly(this)\""></div>""}}"
custom-slider-with-role-and-aria-valuenow::sample-0,custom-slider-with-role-and-aria-valuenow.html,accessible,"<div class=""slider-track"" role=""slider"" tabindex=""0"" aria-label=""Volume"" aria-valuemin=""0"" aria-valuemax=""100"" aria-valuenow=""60"" aria-valuetext=""60 percent"" onkeydown=""if(event.key==='ArrowRight'){nudgeVolume(this,10);}else if(event.key==='ArrowLeft'){nudgeVolume(this,-10);}""></div>","<main><h1>Playback volume</h1><div class=""slider-track"" role=""slider"" tabindex=""0"" aria-label=""Volume"" aria-valuemin=""0"" aria-valuemax=""100"" aria-valuenow=""60"" aria-valuetext=""60 percent"" onkeydown=""if(event.key==='ArrowRight'){nudgeVolume(this,10);}else if(event.key==='ArrowLeft'){nudgeVolume(this,-10);}""></div></main>","[""slider, Volume, orientated horizontally, max value 100, min value 0, current value 60 percent""]",,"{""before"":{""phrase"":""slider, Volume, orientated horizontally, max value 100, min value 0, current value 60 percent"",""html"":""<div class=\""slider-track\"" role=\""slider\"" tabindex=\""0\"" aria-label=\""Volume\"" aria-valuemin=\""0\"" aria-valuemax=\""100\"" aria-valuenow=\""60\"" aria-valuetext=\""60 percent\"" onkeydown=\""if(event.key==='ArrowRight'){nudgeVolume(this,10);}else if(event.key==='ArrowLeft'){nudgeVolume(this,-10);}\""></div>""},""after"":{""phrase"":""slider, Volume, orientated horizontally, max value 100, min value 0, current value 60 percent"",""html"":""<div class=\""slider-track\"" role=\""slider\"" tabindex=\""0\"" aria-label=\""Volume\"" aria-valuemin=\""0\"" aria-valuemax=\""100\"" aria-valuenow=\""60\"" aria-valuetext=\""60 percent\"" onkeydown=\""if(event.key==='ArrowRight'){nudgeVolume(this,10);}else if(event.key==='ArrowLeft'){nudgeVolume(this,-10);}\""></div>""}}"
custom-switch-with-role-and-updating-aria-checked::sample-0,custom-switch-with-role-and-updating-aria-checked.html,accessible,"<div class=""switch"" role=""switch"" tabindex=""0"" aria-checked=""false"" aria-labelledby=""notifLabel"" onclick=""toggleSwitch(this)"" onkeydown=""if(event.key===' '||event.key==='Enter'){event.preventDefault();toggleSwitch(this);}""></div>","<main><h1>Notification settings</h1><p id=""notifLabel"">Email notifications</p><div class=""switch"" role=""switch"" tabindex=""0"" aria-checked=""false"" aria-labelledby=""notifLabel"" onclick=""toggleSwitch(this)"" onkeydown=""if(event.key===' '||event.key==='Enter'){event.preventDefault();toggleSwitch(this);}""></div></main>","[""switch, Email notifications, not checked""]",,"{""before"":{""phrase"":""switch, Email notifications, not checked"",""html"":""<div class=\""switch\"" role=\""switch\"" tabindex=\""0\"" aria-checked=\""false\"" aria-labelledby=\""notifLabel\"" onclick=\""toggleSwitch(this)\"" onkeydown=\""if(event.key===' '||event.key==='Enter'){event.preventDefault();toggleSwitch(this);}\""></div>""},""after"":{""phrase"":""switch, Email notifications, checked"",""html"":""<div class=\""switch\"" role=\""switch\"" tabindex=\""0\"" aria-checked=\""true\"" aria-labelledby=\""notifLabel\"" onclick=\""toggleSwitch(this)\"" onkeydown=\""if(event.key===' '||event.key==='Enter'){event.preventDefault();toggleSwitch(this);}\""></div>""}}"
disclosure-with-aria-expanded::sample-0,disclosure-with-aria-expanded.html,accessible,"<button type=""button"" aria-expanded=""false"" aria-controls=""help-panel"" onclick=""toggleDisclosure(this)"">
I don't know my national insurance number
</button>","<main><h1>What is your national insurance number?</h1><button type=""button"" aria-expanded=""false"" aria-controls=""help-panel"" onclick=""toggleDisclosure(this)"">
I don't know my national insurance number
</button><div id=""help-panel"" hidden=""""><p>It's on your payslip, P60 or letters about tax, pensions or benefits.</p></div></main>","[""button, I don't know my national insurance number, not expanded""]",,"{""before"":{""phrase"":""button, I don't know my national insurance number, not expanded"",""html"":""<button type=\""button\"" aria-expanded=\""false\"" aria-controls=\""help-panel\"" onclick=\""toggleDisclosure(this)\"">\nI don't know my national insurance number\n</button>""},""after"":{""phrase"":""button, I don't know my national insurance number, expanded"",""html"":""<button type=\""button\"" aria-expanded=\""true\"" aria-controls=\""help-panel\"" onclick=\""toggleDisclosure(this)\"">\nI don't know my national insurance number\n</button>""}}"
native-checkbox-with-label::sample-0,native-checkbox-with-label.html,accessible,"<input type=""checkbox"" id=""marketing"" name=""marketing"" checked="""">","<div class=""form-group""><input type=""checkbox"" id=""marketing"" name=""marketing"" checked=""""><label for=""marketing"">Email me about new features</label></div>","[""checkbox, Email me about new features, checked""]",,"{""before"":{""phrase"":""checkbox, Email me about new features, checked"",""html"":""<input type=\""checkbox\"" id=\""marketing\"" name=\""marketing\"" checked=\""\"">""},""after"":{""phrase"":""checkbox, Email me about new features, not checked"",""html"":""<input type=\""checkbox\"" id=\""marketing\"" name=\""marketing\"">""}}"
toggle-button-with-aria-pressed::sample-0,toggle-button-with-aria-pressed.html,accessible,"<button type=""button"" aria-pressed=""false"" onclick=""togglePressed(this)"">Bold</button>","<main><h1>Format toolbar</h1><button type=""button"" aria-pressed=""false"" onclick=""togglePressed(this)"">Bold</button></main>","[""button, Bold, not pressed""]",,"{""before"":{""phrase"":""button, Bold, not pressed"",""html"":""<button type=\""button\"" aria-pressed=\""false\"" onclick=\""togglePressed(this)\"">Bold</button>""},""after"":{""phrase"":""button, Bold, pressed"",""html"":""<button type=\""button\"" aria-pressed=\""true\"" onclick=\""togglePressed(this)\"">Bold</button>""}}"
