"sample_id","source_file","label","element_html","parent_html","sr_transcript","sr_status_announcement","sr_role_state_value","sr_label_instruction","sr_focus_order","sr_link_purpose","sr_headings_labels","sr_reading_order","sr_keyboard_trap","sr_focus_context","sr_input_context","sr_sensory_reference","sr_computed_style"
"css-displaynone-used-to-visually-hide-content-when-it-should-be-available-to-screenreader::sample-0","css-displaynone-used-to-visually-hide-content-when-it-should-be-available-to-screenreader.html","inaccessible","<main><a href=""football.html"">Read more <span style=""display:none""> about football</span></a></main>","<body><h1>Do you know what is football?</h1><main><a href=""football.html"">Read more <span style=""display:none""> about football</span></a></main></body>","[""main"",""link, Read more"",""Read more"",""end of link, Read more"",""end of main""]","","","","","","","","","","","","{""generated"":[],""links"":[{""text"":""Read more  about football"",""href"":""football.html"",""link"":{""color"":""rgb(0, 0, 238)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""underline"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""16px""},""surrounding"":{""color"":""rgb(0, 0, 0)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""none"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""16px""},""differsIn"":[""color"",""textDecorationLine""],""surroundingText"":""""}]}"
"css-non-decorative-content-inserted-using-css::sample-0","css-non-decorative-content-inserted-using-css.html","inaccessible","<main><p id=""css-generated-text"">My favourite food is </p></main>","<body><h1>Find out what is my favorite food</h1><main><p id=""css-generated-text"">My favourite food is </p></main></body>","[""main"",""paragraph"",""My favourite food is"",""end of paragraph"",""end of main""]","","","","","","","","","","","","{""generated"":[{""tag"":""p"",""id"":""css-generated-text"",""pseudo"":""::after"",""content"":""\""Pizza\""""}],""links"":[]}"
"css-visibilityhidden-used-to-visually-hide-content-when-it-should-be-available-to-screenreader::sample-0","css-visibilityhidden-used-to-visually-hide-content-when-it-should-be-available-to-screenreader.html","inaccessible","<main><a href=""rugby.html"">Read more <span style=""visibility:hidden""> about rugby</span></a></main>","<body><h1>Do you know what is the rugby?</h1><main><a href=""rugby.html"">Read more <span style=""visibility:hidden""> about rugby</span></a></main></body>","[""main"",""link, Read more"",""Read more"",""end of link, Read more"",""end of main""]","","","","","","","","","","","","{""generated"":[],""links"":[{""text"":""Read more  about rugby"",""href"":""rugby.html"",""link"":{""color"":""rgb(0, 0, 238)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""underline"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""16px""},""surrounding"":{""color"":""rgb(0, 0, 0)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""none"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""16px""},""differsIn"":[""color"",""textDecorationLine""],""surroundingText"":""""}]}"
"forms-empty-legend::sample-0","forms-empty-legend.html","inaccessible","<main><form><fieldset><legend></legend></fieldset></form></main>","<body><h1>A legend</h1><main><form><fieldset><legend></legend></fieldset></form></main></body>","[""main"",""form"",""group"",""end of form"",""end of main""]","","","","","","","","","","","",""
"forms-fieldset-without-a-legend::sample-0","forms-fieldset-without-a-legend.html","inaccessible","<main><form><fieldset>
I am a fieldset without a legend
</fieldset></form></main>","<body><h1>Fieldset</h1><main><form><fieldset>
I am a fieldset without a legend
</fieldset></form></main></body>","[""main"",""form"",""group"",""I am a fieldset without a legend"",""end of group"",""end of form"",""end of main""]","","","","","","","","","","","",""
"forms-group-of-check-boxes-not-enclosed-in-a-fieldset::sample-0","forms-group-of-check-boxes-not-enclosed-in-a-fieldset.html","inaccessible","<input id=""waste-type-1"" name=""waste-types"" type=""checkbox"" value=""waste-animal"">","<form><h4>Which types of waste do you transport regularly?</h4><label class=""block-label"" for=""waste-type-1""><input id=""waste-type-1"" name=""waste-types"" type=""checkbox"" value=""waste-animal"">
Waste from animal carcasses
</label><br><label class=""block-label"" for=""waste-type-2""><input id=""waste-type-2"" name=""waste-types"" type=""checkbox"" value=""waste-mines"">
Waste from mines or quarries
</label><br><label class=""block-label"" for=""waste-type-3""><input id=""waste-type-3"" name=""waste-types"" type=""checkbox"" value=""waste-farm-agricultural"">
Farm or agricultural waste
</label></form>","[""checkbox, Waste from animal carcasses, not checked""]","","{""before"":{""phrase"":""checkbox, Waste from animal carcasses, not checked"",""html"":""<input id=\""waste-type-1\"" name=\""waste-types\"" type=\""checkbox\"" value=\""waste-animal\"">""},""after"":{""phrase"":""checkbox, Waste from animal carcasses, checked"",""html"":""<input id=\""waste-type-1\"" name=\""waste-types\"" type=\""checkbox\"" value=\""waste-animal\"" checked=\""\"">""}}","","","","","","","","","",""
"forms-group-of-radio-buttons-not-enclosed-in-a-fieldset::sample-0","forms-group-of-radio-buttons-not-enclosed-in-a-fieldset.html","inaccessible","<input id=""radio-inline-1"" name=""radio-inline-group"" type=""radio"" value=""Yes"">","<form><h4>Do you already have a personal user account?</h4><label class=""block-label"" for=""radio-inline-1""><input id=""radio-inline-1"" name=""radio-inline-group"" type=""radio"" value=""Yes"">
Yes
</label><br><label class=""block-label"" for=""radio-inline-2""><input id=""radio-inline-2"" name=""radio-inline-group"" type=""radio"" value=""No"">
No
</label></form>","[""radio, Yes, not checked""]","","{""before"":{""phrase"":""radio, Yes, not checked"",""html"":""<input id=\""radio-inline-1\"" name=\""radio-inline-group\"" type=\""radio\"" value=\""Yes\"">""},""after"":{""phrase"":""radio, Yes, checked"",""html"":""<input id=\""radio-inline-1\"" name=\""radio-inline-group\"" type=\""radio\"" value=\""Yes\"" checked=\""\"">""}}","","","","","","","","","",""
"headings-headings-not-structured-in-a-hierarchical-manner::sample-0","headings-headings-not-structured-in-a-hierarchical-manner.html","inaccessible","<main><h3>Heading 3</h3><p>Pages should be structured in a hierarchical manner, generally with one 1st degree headings (h1) being the
most important (usually page titles or main content heading), then 2nd degree headings (h2 - usually major
section headings), down to 3rd degree headings (sub-sections of the h2), and so on. </p><h5>Heading 5</h5><p>Technically, lower degree headings should be contained within headings of the next highest degree
(i.e., one should not skip heading levels, such as from an h2 to an h4, going down the document).</p><h4>Heading 4</h4></main>","<body><h1>A couple of Headings</h1><main><h3>Heading 3</h3><p>Pages should be structured in a hierarchical manner, generally with one 1st degree headings (h1) being the
most important (usually page titles or main content heading), then 2nd degree headings (h2 - usually major
section headings), down to 3rd degree headings (sub-sections of the h2), and so on. </p><h5>Heading 5</h5><p>Technically, lower degree headings should be contained within headings of the next highest degree
(i.e., one should not skip heading levels, such as from an h2 to an h4, going down the document).</p><h4>Heading 4</h4></main></body>","[""main"",""heading, Heading 3, level 3"",""paragraph"",""Pages should be structured in a hierarchical manner, generally with one 1st degree headings (h1) being the most important (usually page titles or main content heading), then 2nd degree headings (h2 - usually major section headings), down to 3rd degree headings (sub-sections of the h2), and so on."",""end of paragraph"",""heading, Heading 5, level 5"",""paragraph"",""Technically, lower degree headings should be contained within headings of the next highest degree (i.e., one should not skip heading levels, such as from an h2 to an h4, going down the document)."",""end of paragraph"",""heading, Heading 4, level 4"",""end of main""]","","","","","","","","","","","",""
"headings-text-formatting-used-instead-of-an-actual-heading::sample-0","headings-text-formatting-used-instead-of-an-actual-heading.html","inaccessible","<main><div class=""fake-heading"">This is a div contains some texts</div><p>This paragraph is preceded by a div</p></main>","<body><h1>A heading</h1><main><div class=""fake-heading"">This is a div contains some texts</div><p>This paragraph is preceded by a div</p></main></body>","[""main"",""This is a div contains some texts"",""paragraph"",""This paragraph is preceded by a div"",""end of paragraph"",""end of main""]","","","","","","","","","","","",""
"html-article-element-used-to-mark-up-an-element-thats-not-an-article-blog-post-etc.::sample-0","html-article-element-used-to-mark-up-an-element-thats-not-an-article-blog-post-etc..html","inaccessible","<article class=""not-article-content""><h2 id=""parent-other"">Elsewhere on GOV.UK</h2><nav aria-labelledby=""parent-other"" role=""navigation""><ul><li><a href=""/agency-workers-your-rights"">Your rights as an agency worker</a></li><li><a href=""/acas"">Advisory, Conciliation and Arbitration Service (Acas)</a></li></ul></nav></article>","<main><article class=""not-article-content""><h2 id=""parent-other"">Elsewhere on GOV.UK</h2><nav aria-labelledby=""parent-other"" role=""navigation""><ul><li><a href=""/agency-workers-your-rights"">Your rights as an agency worker</a></li><li><a href=""/acas"">Advisory, Conciliation and Arbitration Service (Acas)</a></li></ul></nav></article></main>","[""article"",""heading, Elsewhere on GOV.UK, level 2"",""navigation, Elsewhere on GOV.UK"",""list"",""listitem, level 1, position 1, set size 2"",""link, Your rights as an agency worker"",""end of listitem, level 1, position 1, set size 2"",""listitem, level 1, position 2, set size 2"",""link, Advisory, Conciliation and Arbitration Service (Acas)"",""end of listitem, level 1, position 2, set size 2"",""end of list"",""end of navigation, Elsewhere on GOV.UK"",""end of article""]","","","","","","","","","","","","{""generated"":[],""links"":[{""text"":""Your rights as an agency worker"",""href"":""/agency-workers-your-rights"",""link"":{""color"":""rgb(0, 0, 238)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""underline"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""16px""},""surrounding"":{""color"":""rgb(0, 0, 0)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""none"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""16px""},""differsIn"":[""color"",""textDecorationLine""],""surroundingText"":""""},{""text"":""Advisory, Conciliation and Arbitration Service (Acas)"",""href"":""/acas"",""link"":{""color"":""rgb(0, 0, 238)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""underline"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""16px""},""surrounding"":{""color"":""rgb(0, 0, 0)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""none"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""16px""},""differsIn"":[""color"",""textDecorationLine""],""surroundingText"":""""}]}"
